n	Lien	Charset	Nombre de mots
1	https://fr.wikipedia.org/wiki/Robot	UTF-8	5800
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	UTF-8	1280
3	fr.wikipedia.org/wiki/Robot_d%27indexation	UTF-8	1901
4	https://fr.wikipedia.org/wiki/Bot_informatique	UTF-8	2702
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	UTF-8	1286
6	https://roboty.magistry.fr	Inconnu	1286
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	UTF-8	543
8	https://fr.wiktionary.org/wiki/robot	UTF-8	4932
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	UTF-8	1177
10	https://fr.wikipedia.org/wiki/Robotique	UTF-8	13144
